 number of blocks                 500
 number of per block                1
 output frequency                   1
 temperature               0.00006967
 Nose-Hoover                F
 Maximum single part. disp.  0.440000
 
 Quantum Langevin dyn. with PIOUD integrator
 
 *************************************
 PIOUD integrator parameters
 time step = 0.4400000000000000
 friction (gamma) = 4.440000000000000E-02
 delta0 = 0.000000000000000E+00
 second order Trotter beakup
 Quantum MD: Path integral Langevin!!!!
 Generalized dynamics in the bead eigenmodes
 delta0k, delta0q = 1.000000000000000 0.000000000000000E+00
  Warning  delta_0 >= dt !!! Changed to  0.4400000000000000
 *************************************
 initial potential =    -37.2063


 start of dynamics 




1)block   2)nmove   3)H   4)H_Nosé   5)E_pot   6)E_kin   7)Temp(Ha)   8)Temp(K)   9)quantum_kin_virial   10)quantum_kin_primitive  


     1     1  -36.35024       0.000000      -37.20634      0.8561032      0.6966985E-04   22.00000      0.6688306E-02  0.8561032    
     2     1  -36.37843       0.000000      -37.21082      0.8323863      0.6773977E-04   21.39053      0.2176305E-01  0.7831107    
     3     1  -36.40777       0.000000      -37.21058      0.8028029      0.6533227E-04   20.63030      0.5082998E-01  0.6476861    
     4     1  -36.40958       0.000000      -37.21244      0.8028593      0.6533686E-04   20.63175      0.7498578E-01  0.5254109    
     5     1  -36.37160       0.000000      -37.21060      0.8390032      0.6827826E-04   21.56057      0.8997744E-01  0.4312225    
     6     1  -36.34216       0.000000      -37.20028      0.8581130      0.6983342E-04   22.05165      0.9598720E-01  0.3661481    
     7     1  -36.32662       0.000000      -37.18402      0.8573947      0.6977496E-04   22.03319      0.9180494E-01  0.3176492    
     8     1  -36.33332       0.000000      -37.16914      0.8358227      0.6801943E-04   21.47884      0.8164402E-01  0.2788236    
     9     1  -36.33030       0.000000      -37.16549      0.8351854      0.6796756E-04   21.46246      0.7259102E-01  0.2506521    
    10     1  -36.33715       0.000000      -37.17335      0.8362025      0.6805034E-04   21.48860      0.7279026E-01  0.2331830    
    11     1  -36.33374       0.000000      -37.19068      0.8569485      0.6973865E-04   22.02172      0.8049133E-01  0.2219111    
    12     1  -36.34096       0.000000      -37.20919      0.8682294      0.7065669E-04   22.31162      0.8950217E-01  0.2109926    
    13     1  -36.32176       0.000000      -37.21978      0.8980220      0.7308121E-04   23.07722      0.9702857E-01  0.2003331    
    14     1  -36.32677       0.000000      -37.21938      0.8926095      0.7264075E-04   22.93813      0.1007131      0.1890164    
    15     1  -36.31172       0.000000      -37.20819      0.8964757      0.7295538E-04   23.03749      0.1022501      0.1776618    
    16     1  -36.32145       0.000000      -37.19509      0.8736469      0.7109757E-04   22.45084      0.9961659E-01  0.1666969    
    17     1  -36.31585       0.000000      -37.18685      0.8709990      0.7088208E-04   22.38279      0.9584784E-01  0.1637004    
    18     1  -36.31891       0.000000      -37.18738      0.8684679      0.7067610E-04   22.31775      0.9383867E-01  0.1584059    
    19     1  -36.33580       0.000000      -37.19568      0.8598751      0.6997682E-04   22.09693      0.9546570E-01  0.1497620    
    20     1  -36.31967       0.000000      -37.20898      0.8893073      0.7237201E-04   22.85327      0.9940513E-01  0.1411464    
    21     1  -36.32926       0.000000      -37.22112      0.8918671      0.7258033E-04   22.91905      0.1038370      0.1282658    
